ticket_id,text,label
CLS-00001,"Need assistance, The invoice total is incorrect. Reported via chat with low priority, and please prioritize this today.",billing
CLS-00002,"Good morning, The invoice total is incorrect. Reported via chat with medium priority, and this started yesterday.",billing
CLS-00003,"Need assistance, Courier delivered to the wrong address. Reported via support portal with high priority, and this started after the latest release.",shipping
CLS-00004,"Hello support, Export to CSV does not work. Reported via support portal with low priority, and we need a quick resolution.",technical
CLS-00005,"Good morning, The payment failed but money was charged. Reported via email with medium priority, and we need a quick resolution.",billing
CLS-00006,"Urgent, I need to change my login email. Reported via email with medium priority, and we need a quick resolution.",account_access
CLS-00007,"Please help, File upload fails for PDF documents. Reported via support portal with low priority, and this started after the latest release.",technical
CLS-00008,"Good morning, The package arrived damaged. Reported via support portal with high priority, and this started after the latest release.",shipping
CLS-00009,"Urgent, My order has not been delivered. Reported via phone with high priority, and this started yesterday.",shipping
CLS-00010,"Need assistance, The API returns a 500 error. Reported via chat with low priority, and this is blocking our operations.",technical
CLS-00011,"Need assistance, The invoice total is incorrect. Reported via phone with low priority, and this affects multiple users.",billing
CLS-00012,"Hi team, Two-factor code never arrives. Reported via support portal with high priority, and this started after the latest release.",account_access
CLS-00013,"Urgent, I cannot log in to my account. Reported via chat with high priority, and we need a quick resolution.",account_access
CLS-00014,"Hi team, I was billed for an add-on I did not enable. Reported via chat with medium priority, and we need a quick resolution.",billing
CLS-00015,"Need assistance, Billing continued after cancellation. Reported via chat with low priority, and this started yesterday.",billing
CLS-00016,"Hi team, The website is very slow today. Reported via phone with low priority, and we need a quick resolution.",technical
CLS-00017,"Good morning, The payment failed but money was charged. Reported via chat with high priority, and this is blocking our operations.",billing
CLS-00018,"Need assistance, Password reset link expired. Reported via phone with low priority, and this started yesterday.",account_access
CLS-00019,"Good morning, One item is missing from the shipment. Reported via support portal with low priority, and please prioritize this today.",shipping
CLS-00020,"Need assistance, Billing continued after cancellation. Reported via chat with high priority, and this affects multiple users.",billing
CLS-00021,"Need assistance, My order has not been delivered. Reported via phone with high priority, and this started yesterday.",shipping
CLS-00022,"Hi team, The invoice total is incorrect. Reported via phone with low priority, and this is blocking our operations.",billing
CLS-00023,"Urgent, My user appears disabled in admin. Reported via email with high priority, and we need a quick resolution.",account_access
CLS-00024,"Need assistance, Billing continued after cancellation. Reported via support portal with medium priority, and this started after the latest release.",billing
CLS-00025,"Hi team, A discount code was not applied. Reported via email with medium priority, and this affects multiple users.",billing
CLS-00026,"Urgent, My user appears disabled in admin. Reported via support portal with high priority, and please prioritize this today.",account_access
CLS-00027,"Need assistance, Delivery date keeps changing. Reported via phone with high priority, and this started yesterday.",shipping
CLS-00028,"Hi team, I need an updated invoice with tax ID. Reported via support portal with medium priority, and this started yesterday.",billing
CLS-00029,"Please help, Password reset link expired. Reported via phone with low priority, and this started after the latest release.",account_access
CLS-00030,"Hi team, The app crashes on startup. Reported via support portal with low priority, and we need a quick resolution.",technical
CLS-00031,"Hi team, File upload fails for PDF documents. Reported via chat with low priority, and this started after the latest release.",technical
CLS-00032,"Need assistance, File upload fails for PDF documents. Reported via email with low priority, and please prioritize this today.",technical
CLS-00033,"Good morning, Export to CSV does not work. Reported via chat with medium priority, and we need a quick resolution.",technical
CLS-00034,"Hello support, The dashboard is blank after login. Reported via phone with low priority, and this started yesterday.",technical
CLS-00035,"Need assistance, The dashboard is blank after login. Reported via phone with low priority, and this is blocking our operations.",technical
CLS-00036,"Please help, I cannot log in to my account. Reported via phone with high priority, and this affects multiple users.",account_access
CLS-00037,"Hello support, Export to CSV does not work. Reported via chat with medium priority, and this affects multiple users.",technical
