doc_id,text
NER4-0001,"On 2026-01-12, Liam Walker from Fabrikam Ops signed a contract in Lisbon for $18,900."
NER4-0002,"On 2026-08-05, Emma Rossi from Apex Systems signed a contract in New York for $4,850."
NER4-0003,"On 2026-05-09, Liam Walker from Nova Retail signed a contract in Berlin for $3,760."
NER4-0004,"On 2026-03-18, Ana Ruiz from Helios Energy signed a contract in New York for $4,850."
NER4-0005,"On 2026-07-21, John Miller from Orion Logistics signed a contract in Rome for $12,400."
NER4-0006,"On 2026-07-21, David Chen from Contoso Labs signed a contract in Berlin for $25,000."
NER4-0007,"On 2026-07-21, Sofia Carter from Contoso Labs signed a contract in Paris for $12,400."
NER4-0008,"On 2026-05-09, John Miller from Northwind Group signed a contract in Berlin for $980."
NER4-0009,"On 2026-03-18, Emma Rossi from Helios Energy signed a contract in Madrid for $3,760."
NER4-0010,"On 2026-07-21, Maria Lopez from Orion Logistics signed a contract in London for $18,900."
NER4-0011,"On 2026-03-18, Sofia Carter from Contoso Labs signed a contract in Berlin for $7,350."
NER4-0012,"On 2026-08-05, Ana Ruiz from BrightCloud LLC signed a contract in New York for $2,100."
NER4-0013,"On 2026-03-18, John Miller from Fabrikam Ops signed a contract in New York for $980."
NER4-0014,"On 2026-05-09, Maria Lopez from BrightCloud LLC signed a contract in New York for $18,900."
NER4-0015,"On 2026-02-03, Noah Baker from Orion Logistics signed a contract in Berlin for $25,000."
NER4-0016,"On 2026-05-09, John Miller from Contoso Labs signed a contract in London for $12,400."
NER4-0017,"On 2026-08-05, Liam Walker from Nova Retail signed a contract in New York for $3,760."
NER4-0018,"On 2026-05-09, John Miller from Nova Retail signed a contract in Madrid for $4,850."
NER4-0019,"On 2026-01-12, Maria Lopez from Orion Logistics signed a contract in New York for $18,900."
NER4-0020,"On 2026-06-14, Sofia Carter from Fabrikam Ops signed a contract in Dublin for $18,900."
NER4-0021,"On 2026-06-14, Liam Walker from Northwind Group signed a contract in Lisbon for $980."
NER4-0022,"On 2026-01-12, Liam Walker from Contoso Labs signed a contract in Rome for $7,350."
NER4-0023,"On 2026-08-05, Liam Walker from Orion Logistics signed a contract in Madrid for $18,900."
NER4-0024,"On 2026-05-09, Ana Ruiz from Nova Retail signed a contract in London for $980."
NER4-0025,"On 2026-07-21, Liam Walker from Fabrikam Ops signed a contract in Dublin for $980."
NER4-0026,"On 2026-06-14, Maria Lopez from Northwind Group signed a contract in Madrid for $4,850."
NER4-0027,"On 2026-08-05, Liam Walker from Fabrikam Ops signed a contract in New York for $18,900."
NER4-0028,"On 2026-08-05, John Miller from Northwind Group signed a contract in Rome for $12,400."
NER4-0029,"On 2026-03-18, Emma Rossi from Helios Energy signed a contract in New York for $4,850."
NER4-0030,"On 2026-05-09, Ana Ruiz from Fabrikam Ops signed a contract in London for $3,760."
NER4-0031,"On 2026-08-05, Ana Ruiz from Fabrikam Ops signed a contract in London for $980."
NER4-0032,"On 2026-02-03, David Chen from Apex Systems signed a contract in Berlin for $12,400."
