doc_id,entity_text,label
NER4-0001,2026-01-12,DATE
NER4-0001,Liam Walker,PERSON
NER4-0001,Fabrikam Ops,ORG
NER4-0001,Lisbon,GPE
NER4-0001,"$18,900",MONEY
NER4-0002,2026-08-05,DATE
NER4-0002,Emma Rossi,PERSON
NER4-0002,Apex Systems,ORG
NER4-0002,New York,GPE
NER4-0002,"$4,850",MONEY
NER4-0003,2026-05-09,DATE
NER4-0003,Liam Walker,PERSON
NER4-0003,Nova Retail,ORG
NER4-0003,Berlin,GPE
NER4-0003,"$3,760",MONEY
NER4-0004,2026-03-18,DATE
NER4-0004,Ana Ruiz,PERSON
NER4-0004,Helios Energy,ORG
NER4-0004,New York,GPE
NER4-0004,"$4,850",MONEY
NER4-0005,2026-07-21,DATE
NER4-0005,John Miller,PERSON
NER4-0005,Orion Logistics,ORG
NER4-0005,Rome,GPE
NER4-0005,"$12,400",MONEY
NER4-0006,2026-07-21,DATE
NER4-0006,David Chen,PERSON
NER4-0006,Contoso Labs,ORG
NER4-0006,Berlin,GPE
NER4-0006,"$25,000",MONEY
NER4-0007,2026-07-21,DATE
NER4-0007,Sofia Carter,PERSON
NER4-0007,Contoso Labs,ORG
NER4-0007,Paris,GPE
NER4-0007,"$12,400",MONEY
NER4-0008,2026-05-09,DATE
NER4-0008,John Miller,PERSON
NER4-0008,Northwind Group,ORG
NER4-0008,Berlin,GPE
NER4-0008,$980,MONEY
NER4-0009,2026-03-18,DATE
NER4-0009,Emma Rossi,PERSON
NER4-0009,Helios Energy,ORG
NER4-0009,Madrid,GPE
NER4-0009,"$3,760",MONEY
NER4-0010,2026-07-21,DATE
NER4-0010,Maria Lopez,PERSON
NER4-0010,Orion Logistics,ORG
NER4-0010,London,GPE
NER4-0010,"$18,900",MONEY
NER4-0011,2026-03-18,DATE
NER4-0011,Sofia Carter,PERSON
NER4-0011,Contoso Labs,ORG
NER4-0011,Berlin,GPE
NER4-0011,"$7,350",MONEY
NER4-0012,2026-08-05,DATE
NER4-0012,Ana Ruiz,PERSON
NER4-0012,BrightCloud LLC,ORG
NER4-0012,New York,GPE
NER4-0012,"$2,100",MONEY
NER4-0013,2026-03-18,DATE
NER4-0013,John Miller,PERSON
NER4-0013,Fabrikam Ops,ORG
NER4-0013,New York,GPE
NER4-0013,$980,MONEY
NER4-0014,2026-05-09,DATE
NER4-0014,Maria Lopez,PERSON
NER4-0014,BrightCloud LLC,ORG
NER4-0014,New York,GPE
NER4-0014,"$18,900",MONEY
NER4-0015,2026-02-03,DATE
NER4-0015,Noah Baker,PERSON
NER4-0015,Orion Logistics,ORG
NER4-0015,Berlin,GPE
NER4-0015,"$25,000",MONEY
NER4-0016,2026-05-09,DATE
NER4-0016,John Miller,PERSON
NER4-0016,Contoso Labs,ORG
NER4-0016,London,GPE
NER4-0016,"$12,400",MONEY
NER4-0017,2026-08-05,DATE
NER4-0017,Liam Walker,PERSON
NER4-0017,Nova Retail,ORG
NER4-0017,New York,GPE
NER4-0017,"$3,760",MONEY
NER4-0018,2026-05-09,DATE
NER4-0018,John Miller,PERSON
NER4-0018,Nova Retail,ORG
NER4-0018,Madrid,GPE
NER4-0018,"$4,850",MONEY
NER4-0019,2026-01-12,DATE
NER4-0019,Maria Lopez,PERSON
NER4-0019,Orion Logistics,ORG
NER4-0019,New York,GPE
NER4-0019,"$18,900",MONEY
NER4-0020,2026-06-14,DATE
NER4-0020,Sofia Carter,PERSON
NER4-0020,Fabrikam Ops,ORG
NER4-0020,Dublin,GPE
NER4-0020,"$18,900",MONEY
NER4-0021,2026-06-14,DATE
NER4-0021,Liam Walker,PERSON
NER4-0021,Northwind Group,ORG
NER4-0021,Lisbon,GPE
NER4-0021,$980,MONEY
NER4-0022,2026-01-12,DATE
NER4-0022,Liam Walker,PERSON
NER4-0022,Contoso Labs,ORG
NER4-0022,Rome,GPE
NER4-0022,"$7,350",MONEY
NER4-0023,2026-08-05,DATE
NER4-0023,Liam Walker,PERSON
NER4-0023,Orion Logistics,ORG
NER4-0023,Madrid,GPE
