ticket_id,raw_text,label
TCK-00001,"Good morning: My password is rejected even after reset. I opened this through chat with high priority, reference sales team, and this happens only on web.",account_access
TCK-00002,"Quick request: I cannot complete email verification. I opened this through chat with high priority, reference user USR-441, and we need a fix today.",account_access
TCK-00003,"Good morning, I am reporting this issue: File upload fails for PDFs. Channel portal, medium priority, reference service API, and this is impacting customer response times.",technical
TCK-00004,"Need assistance: I received the wrong product. I opened this through portal with high priority, reference tracking TRK-331, and this is impacting customer response times.",shipping
TCK-00005,"Good morning, The invoice total is incorrect. Reported via portal, high priority, reference order ORD-5561, and this started after the latest release.",billing
TCK-00006,"Hello support, I need to switch the payment method. Reported via chat, low priority, reference plan PRO, and this affects multiple users.",billing
TCK-00007,"Good afternoon, I am reporting this issue: Search returns no results. Channel phone, medium priority, reference CRM connector, and this affects multiple users.",technical
TCK-00008,"Good morning, I am reporting this issue: Tracking has not updated for days. Channel portal, medium priority, reference tracking TRK-992, and we need a fix today.",shipping
TCK-00009,"Need assistance, I am reporting this issue: I cannot complete email verification. Channel phone, high priority, reference sales team, and this started yesterday.",account_access
TCK-00010,"Urgent, I cannot enable two-factor authentication. Reported via email, medium priority, reference sales team, and this is impacting customer response times.",account_access
TCK-00011,"Good afternoon: File upload fails for PDFs. I opened this through email with medium priority, reference admin dashboard, and this started after the latest release.",technical
TCK-00012,"Need assistance, I am reporting this issue: I need an updated invoice with company tax ID. Channel phone, high priority, reference invoice INV-1021, and this started yesterday.",billing
TCK-00013,"Hello support, My user appears disabled. Reported via chat, low priority, reference user USR-772, and this affects multiple users.",account_access
TCK-00014,"Need assistance, File upload fails for PDFs. Sending details through portal, high priority, reference web frontend, and this affects multiple users.",technical
TCK-00015,"Good morning: The payment failed but money was still taken. I opened this through portal with medium priority, reference subscription SUB-8840, and this blocks our daily operations.",billing
TCK-00016,"Hi team, I am reporting this issue: There is an unknown charge on my card. Channel phone, low priority, reference plan PRO, and this is impacting customer response times.",billing
TCK-00017,"Urgent, Billing continued after I canceled. Sending details through portal, medium priority, reference invoice INV-1021, and this started after the latest release.",billing
TCK-00018,"Hello support: I get logged out immediately. I opened this through portal with high priority, reference sales team, and this is impacting customer response times.",account_access
TCK-00019,"Urgent, There is an unknown charge on my card. Sending details through chat, low priority, reference order ORD-5561, and this blocks our daily operations.",billing
TCK-00020,"Quick request: I was charged twice for my monthly plan. I opened this through phone with low priority, reference invoice INV-3044, and this started after the latest release.",billing
TCK-00021,"Hello support: The courier asked for an unexpected fee. I opened this through phone with high priority, reference order ORD-1102, and this happens only on web.",shipping
TCK-00022,"Quick request, Sign in fails on mobile but works on web. Reported via email, high priority, reference main tenant, and we need a fix today.",account_access
TCK-00023,"Urgent, I cannot enable two-factor authentication. Reported via email, medium priority, reference main tenant, and this is impacting customer response times.",account_access
TCK-00024,"Hi team, I am reporting this issue: The courier asked for an unexpected fee. Channel phone, low priority, reference order ORD-1102, and this affects multiple users.",shipping
TCK-00025,"Good afternoon, Notifications are delayed by several hours. Sending details through chat, low priority, reference admin dashboard, and this happens only on mobile.",technical
TCK-00026,"Need assistance, My password is rejected even after reset. Sending details through email, medium priority, reference main tenant, and this blocks our daily operations.",account_access
TCK-00027,"Please help, SSO login is failing for my team. Sending details through phone, medium priority, reference user USR-441, and we need a fix today.",account_access
TCK-00028,"Hello support, I was billed for an add-on I did not enable. Reported via portal, medium priority, reference subscription SUB-8840, and this started yesterday.",billing
TCK-00029,"Hello support, I am reporting this issue: The courier asked for an unexpected fee. Channel email, high priority, reference order ORD-1102, and this started yesterday.",shipping
TCK-00030,"Urgent, The app crashes when I open the dashboard. Reported via portal, high priority, reference checkout module, and this happens only on web.",technical
TCK-00031,"Hi team: The integration with our CRM is failing. I opened this through email with high priority, reference service API, and this started yesterday.",technical
TCK-00032,"Please help, I am reporting this issue: I need to change the delivery address. Channel email, medium priority, reference shipment SHP-9001, and this started after the latest release.",shipping
TCK-00033,"Urgent, I am reporting this issue: My account is locked. Channel email, low priority, reference user USR-772, and this affects multiple users.",account_access
TCK-00034,"Please help, I am reporting this issue: The order is marked delivered but I did not receive it. Channel chat, high priority, reference shipment SHP-7654, and this affects multiple users.",shipping
TCK-00035,"Need assistance: The VAT amount is wrong on the invoice. I opened this through portal with high priority, reference order ORD-5561, and this happens only on mobile.",billing
TCK-00036,"Urgent: Billing continued after I canceled. I opened this through chat with medium priority, reference invoice INV-3044, and this started after the latest release.",billing
TCK-00037,"Need assistance: I received the wrong product. I opened this through phone with low priority, reference shipment SHP-7654, and we need a fix today.",shipping
TCK-00038,"Please help, I am reporting this issue: The screen is blank after login. Channel chat, medium priority, reference admin dashboard, and we need a fix today.",technical
TCK-00039,"Urgent, The payment failed but money was still taken. Sending details through portal, low priority, reference order ORD-5561, and this affects multiple users.",billing
TCK-00040,"Quick request: The payment failed but money was still taken. I opened this through email with high priority, reference invoice INV-1021, and we need a fix today.",billing
TCK-00041,"Please help, The courier delivered to the wrong address. Sending details through portal, medium priority, reference order ORD-1102, and this happens only on web.",shipping
TCK-00042,"Good morning: I was billed for an add-on I did not enable. I opened this through phone with high priority, reference invoice INV-3044, and this started after the latest release.",billing
TCK-00043,"Good afternoon, The package arrived damaged. Sending details through portal, medium priority, reference shipment SHP-7654, and we need a fix today.",shipping
TCK-00044,"Hi team, Customs hold has delayed my package. Reported via phone, medium priority, reference tracking TRK-992, and this is impacting customer response times.",shipping
TCK-00045,"Please help: The VAT amount is wrong on the invoice. I opened this through portal with high priority, reference subscription SUB-8840, and this affects multiple users.",billing
TCK-00046,"Please help, I am reporting this issue: I need to change the delivery address. Channel phone, medium priority, reference shipment SHP-7654, and this happens only on mobile.",shipping
TCK-00047,"Good morning: The parcel box arrived open. I opened this through phone with high priority, reference tracking TRK-331, and this is impacting customer response times.",shipping
TCK-00048,"Quick request: One item is missing from the shipment. I opened this through chat with high priority, reference shipment SHP-9001, and this started after the latest release.",shipping
TCK-00049,"Need assistance, I am reporting this issue: Notifications are delayed by several hours. Channel email, high priority, reference checkout module, and this blocks our daily operations.",technical
TCK-00050,"Good afternoon, I get a timeout when loading reports. Reported via email, high priority, reference web frontend, and this blocks our daily operations.",technical
TCK-00051,"Need assistance, The website is extremely slow. Reported via portal, high priority, reference checkout module, and this started yesterday.",technical
TCK-00052,"Quick request, Sign in fails on mobile but works on web. Reported via email, low priority, reference user USR-772, and this happens only on web.",account_access
TCK-00053,"Good morning: I need to change the delivery address. I opened this through chat with high priority, reference order ORD-1102, and this affects multiple users.",shipping
